"","measure","tech","no_cont_es","cont_es","no_cont_rsqrd","cont_rsqrd","perc_diff"
"1","sdq","tech_1hr_we",0.063,0.028,0.005,0.001,76.781
"2","sdq","tech_2hr_we",0.078,0.033,0.008,0.002,80.167
"3","sdq","tech_weekday_d",0.057,0.02,0.004,0.001,97.518
"4","wellbeing","tech_1hr_we",0.047,0.006,0.002,0,154.36
"5","wellbeing","tech_2hr_we",0.055,0.007,0.003,0,152.317
"6","sdq","sr_tech",-0.103,0.012,0.011,0,-200
"7","sdq","tech_weekday_c",-0.111,-0.04,0.016,0.003,-94.731
"8","sdq","tech_weekend_c",-0.06,-0.006,0.005,0,-163.378
"9","selfesteem","sr_tech",-0.13,-0.012,0.017,0,-167.353
"10","wellbeing","sr_tech",-0.182,-0.064,0.033,0.005,-95.979
